wikidata_name,wikidata_id,potential_drop,has_infobox,start_date,end_date,location_name,location_latlong,result,belligerent_sideA,belligerent_sideB,means_drones,means_airtoair,means_cruisemissiles,means_aerialbombing,means_closeairsupport,means_groundtroops,means_paramilitary,casualties_sideA,casualties_sideB,casualties_civilian,casualties_us,notes
Operation Panther Squeeze,Q7097371,0,1,2003-12-10,2003-12-10,"Lutafiyah, Iraq",NA,15 primary targets were captured with a total of 41 enemy personnel taken for questioning,United States; New Iraqi Government,Iraqi insurgency,0,0,0,0,0,1,0,0,0,0,0,
Operation Red Dawn,Q3780506,0,1,2003-12-13,2003-12-13,"Ad-Dawr, Iraq",NA,Successful operation; Capture and arrest of former Iraqi president Saddam Hussein,United States,Saddam Hussein and personal bodyguards,0,0,0,0,1,1,1,0,0,0,0,
Operation Ivy Blizzard,Q7097180,0,1,2003-12-17,2003-12-17,"Samarra, Iraq",NA,resulted in the capture of 12 personnel and the confiscation of various weapons ,United States Army; New Iraqi Army,Iraqi insurgency,0,0,0,0,0,1,0,0,0,0,0,
Battle of Hillah (2003),Q18712789,0,1,2003-03-31,2003-04-02,"Hillah, Iraq",NA,Decisive Coalition Victory (Destruction of the Medina Division),United States; Poland,Iraq,0,0,0,1,1,1,0,1,NA,NA,1,"side b 1,200 killed or wounded"
Operation Secure Tomorrow,Q7097528,0,0,2004-02-29,2004-07-01,"Port-au-Prince, Haiti",NA,NA,United States; Chile; Canada; France,National Revolutionary Front for the Liberation of Haiti,0,0,0,0,0,1,1,0,NA,NA,0,article is a stub
Operation Iron Saber,Q7097177,0,1,2004-04-01,2004-06-22,"Najaf, Al Kut, and Karbala, Iraq",NA,NA,United States; New Iraqi Army,Mahdi Army,0,0,0,0,0,1,0,0,0,0,0,Start/end dates approximated to the first and last days of the month because the date given in the infobox is just April 2006
First Battle of Fallujah,Q1537159,0,1,2004-04-04,2004-05-01,"Fallujah, Iraq",NA,U.S. operation failure,United States,Jama'at al-Tawhid wal-Jihad; Ba-athists; Other Sunni insurgents,0,0,0,1,1,1,1,27,206,594,27,Side B casualties 184-228 killed median coded; 572-616 civilians killed median coded
Iraq spring fighting of 2004,Q6067924,0,1,2004-04-04,2004-06-24,Iraq,NA,Indecisive (Major strategic gains by insurgents; U.S. manages to retain control of at least 60% of the country),United States; United Kingdom; Spain; Australia; Poland; New Iraqi Army; Multinational forces in Iraq,Ba'ath Party loyalists; Sunni mujahideen; Mahdi Army; Other insurgent groups and militias,0,0,0,1,1,1,1,383,1342,NA,217,"Turning point in the war before the conflict was simply US/Coalition versus insurgents, but marked the entrance of militias and religiously based militant Iraqi groups"
Battle of Al Kut,Q4870238,0,1,2004-04-05,2004-04-07,"Al Kit, Iraq",NA,NA,"Multi-National Force – Iraq (United States, Ukraine)",Mahdi Army,0,0,0,0,0,1,0,1,190,NA,NA,casualties side B 180-200 median coded; 2/6 Inf recaptured and secured the compound
Battle of Ramadi (2004),Q4872157,0,1,2004-04-06,2004-04-10,"Ramadi, Iraq",NA,American Victory,United States,Ba'ath Party Loyalists; Other Iraqi insurgents,0,0,0,0,0,1,0,13,375,NA,13,Ramadi seen as the center of gravity to coaltiion forces so it was targeted in an attempt to relieve pressure on Fallujah which was under coalition seige; side B casualties 300-450 median coded
Battle of BIAP (2004),Q18639119,0,0,2004-04-11,2004-04-11,"Baghdad International Airport, Iraq",NA,United States victory,United States,Mahdi Militia,0,0,0,0,0,1,0,NA,NA,NA,NA,
Battle of Husaybah (2004),Q4871257,0,1,2004-04-17,2004-04-17,"Husaybah, Iraq",NA,U.S. victory,United States,Iraqi insurgents,0,0,0,0,0,1,0,7,270,NA,7,
Operation Asbury Park,Q7096764,0,1,2004-06-02,2004-06-17,"Dai Chopan, Afghanistan","32°37'09.1""N 66°47'45.0""E",American-Afghan victory,United States; Afghanistan,Taliban; Anti-Coalition/Government forces,0,0,0,0,1,1,0,0,100,NA,0,
Operation Phantom Linebacker,Q7097388,0,1,2004-08-01,2004-08-30,"Baghdad, Iraq",NA,Designed to interdict anti-government fighters from entering Iraq from Syria,United States; Israel; Iraqi National Guard; ROK forces in Iraq,Syria; Iraqi Insurgency,0,0,0,0,0,1,0,0,0,0,0,start and end dates are approximated to the first and last of the month
Battle of Najaf (2004),Q2889462,0,1,2004-08-05,2004-08-27,"Najaf, Iraq",NA,Ceasefire negotiated; Mahdi Army fighters disarm and withdraw from Najaf,United States; Iraq,Mahdi Army,0,0,0,0,1,1,0,53,159,NA,13,
Battle of Samarra (2004),Q4087318,0,1,2004-10-01,2004-10-03,"Samarra, Iraq",NA,U.S. and Iraqi victory,United States; Iraq,Jama'at al-Tawhid wal-Jihad; Ba'ath Party Loyalists,0,0,0,0,0,1,0,1,127,20,1,
Korangal Valley campaign,Q6431406,0,1,2004-10-01,2010-04-14,"Korangal Valley, Kunar province, Afghanistan",NA,"Taliban victory (US troops withdraw, Taligan strategic victory)",United States; Afghanistan,Taliban insurgents,0,0,0,0,0,1,1,NA,NA,NA,54,Side A casualties: 54 US casualties plus ANA casualties (larger number of soldiers killed than US forces)
Battle of Mosul (2004),Q4871794,0,1,2004-11-08,2004-11-16,"Mosul, Iraq",NA,Coalition victory; failured insurgent attempt to take Mosul,United States; Iraqi Security Forces; Peshmerga,Al-Qaeda in Iraq; Ansar al-Sunna; Islamic Army in Iraq; Ba'ath Party Loyalists; Brigades of the Army of the Mustafa; Army of the Conqueror; Other Iraqi insurgents,0,0,0,0,1,1,0,121,71,NA,4,
Operation Plymouth Rock,Q2026278,0,1,2004-11-23,2004-11-23,Baghdad,NA,captured 32 suspected insurgents,United States; New Iraqi Army; United Kingdom,Iraqi insurgency,0,0,0,0,0,1,0,0,0,0,0,
Battle of Abu Ghraib,Q4870210,0,1,2005-04-02,2005-04-02,"Abu Ghraib, Iraq",NA,American victory,United States,Iraqi insurgents (Al Qaeda in Iraq),0,0,0,0,1,1,0,0,70,NA,0,First time that Al-Qaeda in Iraq had directly assaulted the US military
Operation Badlands,Q7096780,0,1,2005-04-12,2005-04-12,"Saqlawiyah, Iraq",NA,Secured the town of Saqlawiyah and established a base of operations,United States,Iraqi Insurgency,0,0,0,0,0,1,0,0,0,0,0,
Operation Tar Heels,Q7097613,0,1,2005-05-05,2005-05-14,"Laghman Province, Afghanistan","35°58'57.6""N 66°04'59.8""E",American victory,United States,Taliban insurgents,0,0,0,0,0,1,0,2,29,NA,2,
Battle of Al-Qa'im,Q1975663,0,1,2005-05-08,2005-05-19,"Ubaydi, Al-Anbar",34.2200°N 41.0539°E,U.S. Tactical victory,United States,Al-Qaeda in Iraq,0,0,0,0,0,1,0,9,125,NA,9,
Operation Karez,Q1518797,0,1,2005-05-13,2005-05-23,"Badghis province, Afghanistan",NA,Tactical coalition victory,Norway; Germany; United States; Croatia; Afghan National Army,Taliban insurgents,0,0,0,0,1,0,0,0,14,NA,NA,US provided support as a part of ISAF 
Operation Squeeze Play,Q7097575,0,1,2005-05-22,2005-05-22,Western Iraq,NA,Almost 300 suspects were detained in the first day,United States; New Iraqi Army,Iraqi Insurgents,0,0,0,0,0,1,0,NA,NA,NA,NA,no info given on casualties
Operation New Market,Q7097325,0,1,2005-05-24,2005-05-30,Near Haditha in western Iraq,NA,NA,United States; New Iraqi Army,Iraqi insurgents,0,0,0,1,0,0,0,2,11,NA,NA,
Operation Spear,Q7097569,0,1,2005-06-17,2005-06-22,"Karabillah, Iraq",NA,NA,United States; New Iraqi Army,Iraqi insurgents,0,0,0,1,0,1,0,NA,NA,4,NA,article mentions 4 civilian casualties but otherwise no info is given in infobox 
Operation Dagger,Q7096953,0,1,2005-06-18,2005-06-18,western Iraq,NA,NA,United States; New Iraqi Army,Iraqi insurgents,0,0,0,0,0,1,0,NA,NA,NA,NA,
Operation Red Wings,Q3354826,0,1,2005-06-27,2005-07-15,"Sawtalo Sar Mountain, Korangal Valley, Pech District, Kunar Province, Afghanistan","34°52'11""N 70° 57' 37""E",Temporary U.S. Pyrrhic victory; long-term insurgent victory,United States,Local anti-coalition militants,0,0,0,0,1,0,1,19,35,NA,19,end-date is an approximation; side_B casualty count is unknown but 35 is highest US estimate
Operation Sayeed,Q7097502,0,1,2005-07-01,2005-12-22,"Hit, Al Anbar Governorate, Iraq; Haditha, Al Anbar Governorate, Iraq; Husaybah, Al Anbar Governorate, Iraq; al-Qa'im; Al Anbar Governorate, Iraq",33°38′42″N 42°49′35″E,U.S. tactical victory,United States; Republic of Iraq,al-Qaeda in Iraq; Ba'ath Party Loyalists; Ansar al-Sunna; Other Insurgents ,0,0,0,1,1,1,1,70,757,NA,54,Start date is approximated 
Operation Warrior's Rage,Q7097703,0,1,2005-07-14,2005-07-14,"Baghdad, Iraq",NA,"Captured 33 suspects, 2 of whom were Syrian",United States,Iraqi insurgency,0,0,0,0,0,1,0,0,0,0,NA,
Operation Marlborough,Q7097269,0,1,2005-07-23,2007-07-23,"Baghdad, Iraq",NA,Coalition victory,United Kingdom; United States,Al-Qaeda in Iraq,0,0,0,0,0,1,1,0,3,0,0,conducted by a joint US-British task force 
Battle of Haditha,Q4871173,0,1,2005-08-01,2005-08-04,"Haditha, Iraq",NA,U.S. victory (Marine snipers overun; Operation Quick Strike; disruption of al-Qaeda and occupation of Haditha),United States,Al-Qaeda in Iraq; Ansar al-Sunna; Other Iraqi insurgents,0,0,0,0,1,1,0,21,40,NA,21,
Operation Able Warrior,Q7096725,0,1,2005-08-04,2005-08-04,"Baghdad, Iraq",NA,"Captured 41 suspected terrorists, including three foreign fighters",United States,Iraqi Insurgency,0,0,0,0,0,1,0,0,0,0,0,
Operation Whalers,Q7097713,0,1,2005-08-13,2005-08-18,"Kunar Province, Afghanistan",NA,U.S. operational victory,United States,Taliban insurgents,0,0,0,0,1,1,0,1,150,NA,1,
Battle of Tal Afar (2005),Q972831,0,1,2005-09-01,2005-09-18,"Tal Afar, Iraq",NA,American-Iraqi tactical victory,United States; New Iraqi Army,Al-Qaeda in Iraq; Other Insurgents,0,0,0,0,0,1,0,19,163,NA,4,considered one of the first successful counter insurgency oprtations of the war
Operation Steel Curtain,Q642100,0,1,2005-11-05,2005-11-22,"Husaybah, Karabilah, Ubaydi, Iraq",NA,U.S. tactical victory,United States; New Iraqi Army,al-Qaeda in Iraq; Other insurgents,0,0,0,1,0,1,0,10,139,97,NA,
Operation Iron Hammer (Iraq 2005),Q7097173,0,1,2005-11-30,2006-01-03,"Hït, Iraq",NA,NA,United States; Iraq,Iraqi insurgency,0,0,0,0,0,1,0,0,NA,NA,0,
Operation Able Rising Force,Q7096724,0,1,2005-12-08,2005-12-09,"Khadisia, Iraq","31°41'52.6""N 44°28'12.5""E",NA,United States; Republic of Iraq,Iraqi Insurgency,0,0,0,0,0,1,0,NA,NA,NA,NA,
Operation Desert Shield,Q16208641,0,1,2006-01-01,2006-05-01,"Al Anbar Governorate, Iraq",NA,Total Al-Qaeda defeat,United States of America; Iraq,Mujahideen Shura Council; Al-Qaeda in Iraq; Iraq; Other Sunni insurgents,0,0,0,0,0,1,0,NA,NA,NA,NA,
Battle of Nawzad,Q4871922,0,1,2006-01-01,2014-01-01,Helmand province; Afghanistan ,32°24′N 64°28′E,Indecisive,United States; United Kingdom; Estonia; Georgia,Taliban insurgents,0,0,0,1,1,1,0,54,680,NA,19,start/end dates approximated to the first of the year 
Sectarian violence in Iraq (2006–2008),Q17183365,0,1,2006-02-22,2009-06-30,Central Iraq and Baghdad,NA,"Inconclusive, continuation of the Iraq War",Iraq security forces; United States; United Kingdom; Other coalition forces; Private security contractors; Peshmerga Sons of Iraq,Mahdi Army; Special Groups (Asa'ib Ahl al-Haq; Kata'ib Hezbollah; Promised Day Brigades); Badr Brigades; Rogue elements among the Iraqi security forces; Soldiers of Heaven; Shia tribes; other militias,0,0,0,1,1,1,1,NA,NA,NA,NA,Three-sided conflict; no info given on US means
Sectarian violence in Iraq (2006–2008),Q17183365,0,1,2006-02-22,2009-06-30,Central Iraq and Baghdad,NA,Inconclusive; continuation of the Iraq War,Iraq security forces; United States; United Kingdom; Other coalition forces; Private security contractors; Peshmerga Sons of Iraq,"Iraqi Ba'ath Party Loyalists, Ansar al-Sunna; Islamic Army of Iraq; Sunni tribes; Other Sunni insurgents and militia; Mujahideen Shura Council; Islamic State of Iraq",0,0,0,1,1,1,1,NA,NA,NA,NA,three-sided conflict; no info given on US means
Battle of Ramadi (2006),Q2889747,0,1,2006-03-15,2006-11-15,"Ramadi, Iraq",NA,Coalition victory,United States; New Iraqi Army,Mujahideen Shura Council; Islamic State of Iraq,0,0,0,1,1,1,1,124,925,NA,94,side B casulaty count is mean of 750-1100 estimate
Operation Swarmer,Q477040,0,1,2006-03-16,2006-03-22,"Samarra, Iraq",34°11′54″N 43°52′27″E,indecisive,US-led coalition; New Iraqi Army,Mujahideen Shura Council; Al-Qaeda in Iraq; Other Iraqi insurgents,0,0,0,1,1,1,0,0,0,NA,0,48 Iraqi insurgents captured and 17 were later relased 
Operation Scorpion,Q7097510,0,1,2006-03-24,2006-03-25,"Kirkuk, Iraq",NA,indecisive,New Iraqi Army; US-led coalition,Mujahideen Shura Council; Al-Qaeda in Iraq; other Iraqi insurgents,0,0,0,1,0,0,0,0,0,0,0,52 Iraqi insurgents detained
Friendly fire incident at Sangin,Q2889117,0,1,2006-03-29,2006-03-29,"Helmand province, Afghanistan",NA,NA,United States; Canada; United Kingdom; Afghan National Army,Taliban insurgents,0,0,0,1,1,1,0,10,32,NA,1,4 Canadians were shot as a result of U.S. friendly fire
Operation Larchwood 4,Q23043314,0,1,2006-04-16,2006-04-16,"Yusufiyah, Iraq",NA,Coalition Victory; intelligence gathered led to the death of Abu Musab al-Zarqawi,United States; United Kingdom; Iraq,Mujahideen Shura Council; Al-Qaeda in Iraq,0,0,0,0,0,0,1,0,5,1,0,
Operation Iron Triangle,Q7097176,0,1,2006-05-09,2006-05-09,"Samarra, Iraq",NA,The operation resulted in the detention of 200 suspected terrorists and the confiscation of weapons and propoganda materials at an insurgent training camp southwest of the city,United States,al-Qaeda in Iraq,0,0,0,0,0,1,0,0,4,NA,0,Not a ton of info given in this article so outside research is probably necessary 
Operation Mountain Thrust,Q609978,0,1,2006-05-15,2006-07-31,"Kandahar, Afghanistan; Helmand, Afghanistan; Paktika, Afghanistan; Zabul, Afghanistan; Uruzgan province, Afghanistan",NA,Tactical Coalition victory; Strategic Taliban retreat,Afghan National Army; United Kingdom; United States; Canada; Australia; Romania; Netherlands; Czech Republic,Taliban insurgents; al-Qaeda,0,0,0,0,1,1,0,155,1134,NA,24,
Operation Kaika,Q3354740,0,1,2006-06-23,2006-06-24,"Near Kandahar, Afghanistan",NA,US victory; Taliban retreat,United States; Afghan National Army,Taliban insurgents,0,0,0,1,1,1,1,5,120,3,2,entire contingent of Afghan police was also killed on sideA causualties but this was not specified in the casualty count 
Siege of Sangin,Q3030036,0,1,2006-06-27,2007-04-05,"Helmand Province, Afghanistan",NA,Coalition victory,United Kingdom; Canada; United States; Denmark; Estonia; Netherlands; Afghan National Army,Taliban insurgents,0,0,0,0,0,1,0,9,NA,NA,0,"for side_b casualties, estimates vary from ""dozens to several hundred killed"" "
Battle of Panjwaii,Q3401917,0,1,2006-07-01,2007-10-01,"Panjwayi District, Kandahar Province, Afghanistan",NA,Coalition victory,Canada; Afghanistan; Netherlands; United Kingdom; United States,Taliban insurgents,0,0,0,1,1,1,0,18,1000,NA,2,start/end dates approximated to the first and last of the month; 2 Canadian deaths were caused by friendly fire from the US
Operation Perth,Q4744313,0,1,2006-07-01,2006-07-31,"Chora valley, Orūzgān Province, Afghanistan",NA,Coalition victory,Australia; United States,Taliban insurgents,0,0,0,0,1,0,0,0,150,NA,0,US provided air support to Australian special forces
Operation Gaugamela,Q7097069,0,1,2006-07-01,2006-07-31,just west of Kirkuk,NA,detained 154 terror suspects and seized hundreds of weapons,United States; New Iraqi Army,Mujahideen Shura Council; Other Iraqi insurgents,0,0,0,0,1,1,0,0,0,NA,0,start/end dates approximated to the first and last of the month 
Operation Together Forward,Q7097646,0,1,2006-07-09,2006-10-24,"Baghdad, Iraq",NA,Insurgent victory; coalition operations are unsuccessful in securing Baghdad ,United States; Iraq; United Kingdom,Al-Qaeda in Iraq; al-Mahdi Army,0,0,0,0,0,1,0,298,400,NA,NA,
Siege of Musa Qala,Q7510253,0,1,2006-07-17,2006-09-2006,"Helmand Province, Afghanistan",NA,"Inconclusive, both forces withdraw",United Kingdom; Denmark; Afghan National Police; Canada; United States; Afghan National Army,Taliban insurgents,0,0,0,1,1,0,0,14,200,NA,0,US was part of relief force; UK and Denmark did the fighting
Operation River Falcon,Q7097465,0,1,2006-07-25,2006-07-27,"Sayifiyah, Iraq",33.2472°N 44.3568°E,"Detained 1 suspect, performed humanitarian support and discovered several roadside bombs",United States Army; New Iraqi Army,Iraqi insurgency,0,0,0,0,0,1,0,0,0,0,0,Sayifiyah is located Southeast of Baghdad on the Tigris RIver
Operation Guardian Tiger IV,Q7097106,0,0,2006-08-01,2006-09-30,"Haditha, Iraq",34°08′23″N 42°22′41″E,NA,United States; Iraqi Police,Iraqi insurgency,0,0,0,0,0,1,0,0,NA,NA,0,Approximate end date
Second Battle of Habbaniyah,Q24083362,0,1,2006-08-17,2007-02-14,"Habbaniyah, Iraq",NA,U.S. victory,United States,Al-Qaeda in Iraq,0,0,0,0,0,1,0,14,37,NA,14,
Battle of Diwaniya,Q4870879,0,1,2006-08-26,2006-08-26,"Al Diwaniyah, Iraq",NA,Ceasefire,Iraq,Mahdi Army,0,0,0,0,0,1,0,23,20,7,NA,"U.S. was not involved in initial conflict, about a month and a half later on 9 October 2006 another battle broke out in the city, this time between the militia and the U.S. Army "
Operation Al Majid,Q7096735,0,0,2006-09-01,2007-02-01,"Al Anbar Province, Iraq",34°22′20″N 41°59′15″E,NA,United States; Iraqi security forces,Iraqi insurgency,0,0,0,0,0,0,1,NA,NA,NA,NA,
Operation Medusa,Q1763044,0,1,2006-09-02,2006-09-17,"Panjwaye and Zhari districts, Kandahar Province, Afghanistan",NA,Tactical Coalition victory,Canada; Netherlands; United States; United Kingdom; Denmark; Afghanistan,Taliban,0,0,0,0,0,0,1,31,512,NA,1,
Operation Mountain Fury,Q909414,0,1,2006-09-16,2007-01-15,"Paktika, Khost, Ghazni, Paktia, Logar, Afghanistan",NA,Coalition victory,Afghan National Army; Canada; United States; United Kingdom; Netherlands; Italy; Estonia,Taliban; al-Qaeda,0,0,0,1,0,1,0,NA,NA,NA,NA,
Battle of Turki,Q4872608,0,1,2006-11-15,2006-11-16,"Baqubah, Iraq",NA,Decisive U.S. victory,United States,Islamic state of Iraq,0,0,0,0,1,1,0,2,72,NA,2,"F16 used but I believe just as CAS, not bombing; paratroopers involved; rare case of insurgents staying and fighting, possibly to allow higher level leaders the chance to escape; location (Turki, Iraq) changed to Baqubah, Iraq (wikipedia page listed battle as near this town on the outskirts of the village of Turki in Diyala Governorate)"
War in Somalia (2006-2009),Q1072042,0,1,2006-12-20,2009-01-30,Somalia,NA,Ethiopian/TFG military victory ,Ethiopia; Transitional Federal Government; Puntland; Galmudug; pro-Ethiopian faction leaders; Sufi groups; Uganda; Burundi; Nigeria; Ghana; Malawi; United States; United Kingdom,Islamic Courts Union; Oromo Liberation Front; Alliance for the Re-Liberation of Somalia; al-Shabaab; Ras Kamboni Brigades; Jabhatul Islamiya; Muaskar Anole; Al Qaeda and other foreign mujahideen,0,0,0,1,0,0,0,1100,6500,16724,NA,"Casually estimate for side_A is 6000-7000, mean given; location listed as Southern Syria"
Diyala campaign,Q2935362,0,1,2006-12-25,2007-10-01,"Diyala Governorate, Iraq",NA,U.S. Victory,United States; New Iraqi Army; Peshmerga,Islamic state of Iraq; Other Iraqi Insurgents,0,0,0,0,1,1,0,428,1070,NA,106,
Battle of Haifa Street,Q4871175,0,1,2007-01-06,2007-01-09,"Baghdad, Iraq",NA,First Phase (Insurgents Victory); Second Phase (US victory),United States; Iraq,Islamic state of Iraq; Other Iraqi insurgents,0,0,0,0,1,1,0,NA,20,NA,NA,"The dates listed in the infor box only account for phase one of the engagement; casualties side A listed as 60 killed (Iraq), 40 killed (United States) I can't tell if this is a difference of estimates or the nationality of those who died; battle for dangerous street which marks the fault line between Shi'ite and Sunni neighborhoods "
U.S. raid on the Iranian Liaison Office in Arbil,Q7863480,0,0,2007-01-11,2007-01-11,"Erbil, Iraq",NA,NA,United States,Iranian Revolutionary Guards,0,0,0,0,0,0,1,NA,NA,NA,NA,
Operation Arbead II,Q7096757,0,1,2007-01-18,2007-01-18,"Fallujah, Iraq",NA,Detained 36 individuals,United States,Iraqi Insurgency,0,0,0,0,0,1,0,0,0,0,0,
Battle of Najaf (2007),Q4871848,0,1,2007-01-28,2007-01-29,"Zarqa, Najaf Governorate, Iraq",NA,Iraqi and Coalition victory,Iraq; United States; United Kingdom,Soldiers of Heaven; possibly Iraqi tribesmen,0,0,0,1,1,1,0,20,263,NA,2,
Operation Imposing Law,Q1747422,0,1,2007-02-14,2007-11-24,"Baghdad, Iraq",NA,Coalition victory,United States; United Kingdom; New Iraqi Army; Poland; Awakening movements in Iraq,Islamic State of Iraq; Other Iraqi Insurgents,0,0,0,0,1,1,0,872,1219,7482,324,
Operation Shurta Nasir,Q7097544,0,1,2007-02-15,2007-02-15,"Hīt, Iraq",NA,Coalition Victory,United States; Iraqi Police Forces,Islamic State of Iraq,0,0,0,0,0,1,1,0,NA,NA,0,"casualty estimate for sideB is only a ""few killed"" but no precise number"
Operation Murfreesboro,Q7097303,0,1,2007-02-18,2007-03-02,"Ramadi, Iraq",NA,Decisive U.S. victory; insurgent occupying force degeated,United States; Iraqi Army,Islamic state of Iraq,0,0,0,0,0,1,1,15,69,NA,5,
Operation Achilles,Q1616794,0,1,2007-03-06,2007-05-30,"Helmand province, Afghanistan",NA,Tactical coalition victory,United Kingdom; United States; Afghan National Army; Denmark; Canada; Netherlands; Poland,Taliban insurgents,0,0,0,0,0,1,0,35,NA,NA,6,
Battle of Baqubah,Q2237337,0,1,2007-03-10,2007-08-19,"Baqubah, Iraq",NA,City largely secured by Coalition forces,United States; Iraq,Islamic State of Iraq,0,0,0,1,1,1,0,43,227,NA,31,"Mention of tomahawk arivial, but no explicit documentation of use"
Operation Valiant Guardian,Q7097682,0,1,2007-04-05,2007-05-05,"Al Anbar Province, Iraq",NA,"Uncovered over 250 caches, arrested over 250 suspected insurgents and discovered over 100 IED's",United States; Republic of Iraq,Iraqi insurgents,0,0,0,0,0,1,0,NA,NA,NA,NA,
Operation Black Eagle,Q3354655,0,1,2007-04-06,2007-04-10,"Al Diwaniyah, Iraq",NA,Indecisive,United States; United Kingdom; Poland; Iraqi Security Forces,Mahdi Army,0,0,0,0,0,1,0,36,25,NA,6,
Laghman airstrikes,Q6472107,0,0,2007-04-20,2007-04-20,"Laghman, Afghanistan",NA,NA,United States; Pakistan,Islamic State,0,0,0,1,0,0,0,0,20,NA,0,
Operation Alljah,Q7096739,0,1,2007-04-26,2007-05-05,"Albu Bali, Iraq",NA,"Immediate relief of insurgent, Al Qaeda, and other criminal activities in the area ",United States; Republic of Iraq,Islamic state of Iraq; Other Iraqi insurgents,0,0,0,0,1,1,0,6,NA,NA,NA,
Operation Forsythe Park,Q7097057,0,1,2007-04-26,2007-05-05,"Albu Bali, Iraq",NA,"Immediate relief of insurgent, Al Qaeda, and other criminal activities in the area",United States; Republic of Iraq,Islamic state of Iraq; Other Iraqi Insurgents,0,0,0,0,0,1,0,6,NA,NA,NA,
Operation Dragon Fire East,Q7097002,0,1,2007-05-26,2007-05-26,"East Rashid, Baghdad, Iraq",NA,Detained 3 suspected insurgents and found 2 weapons caches,United States; Republic of Iraq,Iraqi insurgency,0,0,0,0,0,1,0,0,0,0,0,
Operation Pickaxe-Handle,Q7097394,0,1,2007-05-30,2007-06-14,"Helmand province, Afghanistan",NA,Tactical Coalition victory; Strategic outcome unclear ,United Kingdom; Canada; United States; Estonia; Denmark; Norway; Afghan National Army,Taliban insurgents,0,0,0,1,0,1,0,11,100,NA,7,"US part of British-led NATO offensive, troops came from ISAF"
Battle of Bargal (2007),Q4870424,0,1,2007-05-31,2007-06-03,"Bargal, Somalia",NA,United States/Puntland victory,Puntland; United States,Islamic Courts Union,0,0,0,0,0,1,0,0,12,NA,0,U.S. Warship USS Chafee shelled hills where militants were reported to have set up camp
Operation Tiger Hammer,Q7097639,0,1,2007-06-07,2007-06-07,"the Adhamiyah District, Baghdad, Iraq",NA,The four-hour operation netted nine detainees and 38 illegal weapons,United States,Iraqi insurgency,0,0,0,0,0,1,0,0,0,0,0,9 Iraqi insurgents captured
Operation Phantom Thunder,Q2026272,0,1,2007-06-16,2007-08-14,Iraq,NA,Coalition strategic victory,United States; Iraqi Army; Revolution Brigade; Awakening Movement; Peshmerga,Islamic State of Iraq; Mahdi Army; Other Iraqi insurgents,0,0,0,1,1,1,0,380,1196,NA,140,
Operation Ardennes,Q7096760,0,1,2007-06-17,2007-06-17,"Muqayllihah, Iraq",NA,Detained 2 suspected insurgents,United States; Iraq,Iraqi Insurgency,0,0,0,0,0,1,0,0,0,0,0,
Operation Commando Eagle,Q7096918,0,1,2007-06-21,2007-08-14,Iraq,NA,U.S. military raids successful; Disruption of insurgent supply lines,United States; New Iraqi Army,Islamic state of Iraq; Other Iraqi insurgents,0,0,0,0,1,1,0,25,12,NA,7,
2007 Helmand Province airstrikes,Q4608594,0,0,2007-06-22,2007-06-22,"Helmand Province, Afghanistan",NA,NA,NATO,Taliban,0,0,0,1,0,0,0,0,NA,45,0,
Operation Bull Run,Q11798527,0,1,2007-06-24,2007-06-26,Iraq,NA,U.S. military raids successful; Disruption of insurgent supply lines,United States; New Iraqi Army,Islamic state of Iraq; other Iraqi insurgents,0,0,0,0,0,1,0,1,6,NA,NA,
Hyderabad airstrike,Q5953962,0,1,2007-06-28,2007-06-28,"Hyderabad village, Gerishk District, Helmand province, Afghanistan",NA,"Estimated 100-130 people killed, 35-85 Taliban fighter, 45-100 civilians including women and children, about 23-40 civilians wounded",United States,Taliban,0,0,0,1,0,1,0,NA,NA,NA,NA,"Airstrikes occured after Taliban forces ambushed a combined US-Afghan army force in Hyderabad and destroyed two US military vehicles with mines, a firefight ensued and the US-Afghan forces called in airstrikes in response to heavy small arms and mortar fire"
Battle of Donkey Island,Q4870899,0,1,2007-06-30,2007-07-01,"Ramadi, Iraq",NA,U.S. victory (Insurgent assault force detected and defeated),United States,Islamic state of Iraq,0,0,0,0,1,1,0,2,32,NA,2,"detected and defeated an insurgent force before it could launch a planned assault on Ramadi, but demonstrated the continued ability of al_Qaeda in Iraq to plan and assemble forces "
Operation Stampede 3,Q7097577,0,1,2007-07-06,2007-07-06,"Baghdad, Iraq",NA,Successful Allied raid,United States; Iraq,Iraqi insurgency,0,0,0,0,0,1,0,NA,NA,NA,NA,no info given on casualties
Operation Saber Guardian,Q7097481,0,1,2007-07-10,2007-07-11,"Sherween, Iraq",34.0546°N 44.8868°E,Coalition victory,United States; Iraq,Islamic state of Iraq; other Iraqi insurgents,0,0,0,0,0,1,0,NA,20,NA,NA,casualties not reported for side A 
Operation Leyte Gulf,Q7097226,0,1,2007-07-11,2007-07-11,"south of Mahmudiyah, Iraq",NA,American and Iraqi victory,United States Army; New Iraqi Army,Iraqi Insurgency,0,0,0,0,0,0,1,0,0,0,0,
Operation Eagle Ares,Q7097017,0,1,2007-07-12,2007-07-12,"Lutifiyah, Iraq",33°01′N 44°18′E,American victory,United States; New Iraqi Army,Iraqi insurgency,0,0,0,0,1,1,0,0,0,0,0,
Operation Polar Tempest,Q7097403,0,1,2007-07-14,2007-07-14,"the villages near al-Owesat and al-Thobat, Iraq",NA,Successful American raid,United States; New Iraqi Army,Iraqi insurgency,0,0,0,0,0,1,0,0,1,NA,0,
