Year,Intervention,Target,dataset,wikidata_id,wikidata_name,drop,notes
1992,Operation Desert Thunder,NA,rand,Q3354687,Operation Desert Thunder,0,
2001,Operation Freedom's Sentinel,Afghanistan,rand,Q21296923,Operation Freedom's Sentinel,0,
1994,Operation New Horizons,Haiti,rand,Q7097323,Operation New Horizons,1,
1991,Operation Northern Watch,Iraq,rand,Q2026233,Operation Northern Watch,0,"While Operation Northern Watch is the successor to Operation Provide Comfort, it does not officially start until 1997 according to Wikipeida. It seems to be a part of the Iraqi no-fly zone policy that began in 1991 after the Gulf War."
2011,U.S. Military Support to African-Led Counter–Lord’s Resistance Army Operations,NA,rand,Q65066391,Operation Observant Compass,0,
1991,Operation Provide Comfort,Turkey,rand,Q2281470,Operation Provide Comfort,0,
1994,Operation Sea Signal,NA,rand,Q7097517,Operation Sea Signal,1,
2004,Operation Secure Tomorrow,Haiti,rand,Q7097528,Operation Secure Tomorrow,0,
1999,Operation Sustain Hope,Kosovo,rand,Q7097540,Operation Shining Hope,1,
1999,Operation Shining Hope,Kosovo,rand,Q7097540,Operation Shining Hope,1,
1992,Operation Southern Watch,NA,rand,Q2026406,Operation Southern Watch,0,
1994,Operation Support Hope,Rwanda,rand,Q7097602,Operation Support Hope,1,
2011,Operation Tomodachi,Japan,rand,Q1136008,Operation Tomodachi,1,Disaster relief after the 2011 Japanese earthquake and tsunami
2004,Operation Unified Assistance,NA,rand,Q7097676,Operation Unified Assistance,1,Humanitarian response to Indian Ocean earthquake and Tsunami
2011,Operation Unified Protector,NA,rand,Q3269455,Operation Unified Protector,0,
2010,Operation Unified Response,Haiti,rand,Q3354937,Operation Unified Response,1,
2014,Operation United Assistance,NA,rand,Q18357729,Operation United Assistance,1,
1992,Operation United Shield,Somalia,rand,Q16250538,Operation United Shield,0,
1994,Operation Uphold Democracy,Haiti,rand,Q2026486,Operation Uphold Democracy,0,
1992,Operation Vigilant Sentinel,NA,rand,Q7097689,Operation Vigilant Sentinel,0,
1992,Operation Vigilant Warrior,NA,rand,Q1838811,Operation Vigilant Warrior,0,
1994,Operation Safe Haven,NA,rand,Q7097803,Operations Safe Haven and Safe Passage,1,
1994,Operation Safe Passage,NA,rand,Q7097803,Operations Safe Haven and Safe Passage,1,
1999,Plan Colombia,Colombia,rand,Q1702988,Plan Colombia,1,
2001,Operation Resolute Support,Afghanistan,rand,Q18651204,Resolute Support Mission,0,
1996,SFOR,Bosnia and Herzegovina,rand,Q313440,SFOR ,0,
2013,Typhoon Humanitarian Relief in the Philippines,Philippines,rand,Q15136651,Typhoon Haiyan,1,
1992,Operation Restore Hope,Somalia,rand,Q460844,Unified Task Force,1,
1992,Operation Continue Hope,Somalia,rand,Q460844,Unified Task Force,1,
2001,Operation Enduring Freedom,NA,rand,Q182865,War in Afghanistan,0,
2001,Operation Swift Freedom,NA,rand,Q182865,War in Afghanistan,0,
2001,Operation Enduring Freedom,Afghanistan,rand,Q182865,War in Afghanistan,0,
1992,Operation Desert Focus,NA,rand,,,1,Was unable to find a wikipedia on this operation but I did find a page that talks more about the operation  https://www.globalsecurity.org/military/ops/desert_focus.htm
2005,Operation Lifeline,Pakistan,rand,,,1,Humanitarian effort after the 2005 Pakistan earthquake
2010,Deterrence of China in Japan,China,rand,,,1,Seems like Japan changed their deterrence policies towards China in their shared body of water. doesn't seem to be much US involvement in this case.
